Time - based data,,,,,,,,,Mass aggregated data,,,,,,
Date-time,"LC
kg","LC change
kg","LC flux (30 s)
kg/sm","d
cm","US1
pulses",1kg sum,1kg index,,1kg index,,"LC
kg","LC change
kg","LC flux
kg/sm","L7
cm","US1
pulses"
12/12/2013 01:21:00,38.077842,0.0,0.0,38.5,88,0.6,32,,167,12/12/2013 9:19,274.27,1.78,0.27,0,0
12/12/2013 01:21:30,38.077842,0.0,0.0,38.6,91,0.6,32,,168,12/12/2013 9:20,275.71,1.44,0.22,0,0
12/12/2013 01:22:00,38.077842,0.0,0.0,38.8,79,0.6,32,,169,12/12/2013 9:21,276.81,1.10,0.33,0,0
12/12/2013 01:22:30,38.077842,0.0,0.0,38.8,90,0.6,32,,170,12/12/2013 9:22,278.41,1.61,0.24,0,0
12/12/2013 01:23:00,38.077842,0.0,0.0,39.1,102,0.6,32,,171,12/12/2013 9:23,280.23,1.82,0.28,0,0
12/12/2013 01:23:30,38.077842,0.0,0.0,39.3,107,0.6,32,,172,12/12/2013 9:24,281.81,1.58,0.24,0,0
12/12/2013 01:24:00,38.077842,0.0,0.0,39.4,143,0.6,32,,173,12/12/2013 9:24,282.98,1.16,0.35,0,0
12/12/2013 01:24:30,38.077842,0.0,0.0,39.6,125,0.6,32,,174,12/12/2013 9:25,284.69,1.72,0.26,0,0
12/12/2013 01:25:00,38.077842,0.0,0.0,39.7,105,0.6,32,,175,12/12/2013 9:26,286.01,1.32,0.20,0,0
12/12/2013 01:25:30,38.077842,0.0,0.0,39.8,139,0.6,32,,176,12/12/2013 9:27,287.26,1.25,0.19,0,0
12/12/2013 01:26:00,38.077842,0.0,0.0,40.0,146,0.6,32,,177,12/12/2013 9:28,288.54,1.29,0.19,0,0
12/12/2013 01:26:30,38.077842,0.0,0.0,40.3,145,0.6,32,,178,12/12/2013 9:29,289.54,1.00,0.15,0,0
12/12/2013 01:27:00,38.077842,0.0,0.0,40.6,112,0.6,32,,179,12/12/2013 9:30,291.04,1.50,0.23,0,0
12/12/2013 01:27:30,38.077842,0.0,0.0,40.7,149,0.6,32,,180,12/12/2013 9:31,292.08,1.04,0.16,0,0
12/12/2013 01:28:00,38.077842,0.0,0.0,41.0,164,0.6,32,,181,12/12/2013 9:32,293.33,1.24,0.19,0,0
12/12/2013 01:28:30,38.077842,0.0,0.0,41.2,208,0.6,32,,182,12/12/2013 9:33,294.40,1.07,0.16,0,0
12/12/2013 01:29:00,38.077842,0.0,0.0,41.4,213,0.6,32,,183,12/12/2013 9:34,295.52,1.13,0.17,0,0
12/12/2013 01:29:30,38.077842,0.0,0.0,41.5,222,0.6,32,,184,12/12/2013 9:36,296.64,1.12,0.11,0,0
12/12/2013 01:30:00,38.077842,0.0,0.0,41.8,243,0.6,32,,185,12/12/2013 9:37,297.76,1.12,0.17,0,0
12/12/2013 01:30:30,38.077842,0.0,0.0,42.1,258,0.6,32,,186,12/12/2013 9:38,299.07,1.31,0.20,0,0
12/12/2013 01:31:00,38.077842,0.0,0.0,42.1,218,0.6,32,,187,12/12/2013 9:39,300.13,1.05,0.11,0,0
12/12/2013 01:31:30,38.077842,0.0,0.0,42.5,224,0.6,32,,188,12/12/2013 9:41,301.20,1.07,0.11,0,0
12/12/2013 01:32:00,38.077842,0.0,0.0,42.7,237,0.6,32,,189,12/12/2013 9:43,302.49,1.29,0.10,0,0
12/12/2013 01:32:30,38.077842,0.0,0.0,42.9,180,0.6,32,,190,12/12/2013 9:45,303.83,1.34,0.10,0,0
